table,original,friendly
key,STATE,State Number
key,ST_CASE,Consecutive Number
key,VEH_NO,Vehicle Number
key,PER_NO,Person Number
key,EVENTNUM,Event Number
key,VEVENTNUM,Vehicle Event Number
accident,PEDS,Number of Forms Submitted for Persons Not in Motor Vehicles
accident,PERNOTMVIT,Number of Persons Not in Motor Vehicles in Transport (MVIT)
accident,VE_TOTAL,Number of Vehicle Forms Submitted- ALL
accident,VE_FORMS,Number of Motor Vehicles in Transport (MVIT)
accident,PVH_INVL,Number of Parked/Working Vehicles
accident,PERSONS,Number of Forms Submitted for Persons in Motor Vehicles
accident,PERMVIT,Number of Persons in Motor Vehicles in Transport (MVIT)
accident,COUNTY,County
accident,CITY,City
accident,MONTH,Month of Crash
accident,DAY,Day of Crash
accident,DAY_WEEK,Day of Week
accident,YEAR,Year of Crash
accident,HOUR,Hour of Crash
accident,MINUTE,Minute of Crash
accident,TWAY_ID,Trafficway Identifier
accident,TWAY_ID2,Trafficway Identifier
accident,ROUTE,Route Signing
accident,RUR_URB,Land Use
accident,FUNC_SYS,Functional System
accident,RD_OWNER,Ownership
accident,NHS,National Highway System
accident,SP_JUR,Special Jurisdiction
accident,MILEPT,Milepoint
accident,LATITUDE,Latitude
accident,LONGITUD,Longitude
accident,HARM_EV,First Harmful Event
accident,MAN_COLL,Manner of Collision of the First Harmful Event
accident,RELJCT1,Relation to Junction- Within Interchange Area
accident,RELJCT2,Relation to Junction- Specific Location
accident,TYP_INT,Type of Intersection
accident,REL_ROAD,Relation to Trafficway
accident,WRK_ZONE,Work Zone
accident,LGT_COND,Light Condition
accident,WEATHER,Atmospheric Conditions
accident,SCH_BUS,School Bus Related
accident,RAIL,Rail Grade Crossing Identifier
accident,NOT_HOUR,Hour of Notification
accident,NOT_MIN,Minute of Notification
accident,ARR_HOUR,Hour of Arrival at Scene
accident,ARR_MIN,Minute of Arrival at Scene
accident,HOSP_HR,Hour of EMS Arrival at Hospital
accident,HOSP_MN,Minute of EMS Arrival at Hospital
accident,FATALS,Fatalities
accident,WEATHER1,Atmospheric Conditions (discontinued)
accident,WEATHER2,Atmospheric Conditions (discontinued)
accident,FED_AID,Federal Highway (discontinued)
accident,HIT_RUN,Hit and Run (discontinued)
accident,LAND_USE,Land Use (discontinued)
accident,DRUNK_DR,Number of Drinking Drivers (discontinued)
accident,CF1,Related Factors- Crash Level (discontinued)
accident,CF2,Related Factors- Crash Level (discontinued)
accident,CF3,Related Factors- Crash Level (discontinued)
accident,ALIGNMNT,Roadway Alignment (discontinued)
accident,ROAD_FNC,Roadway Function Class (discontinued)
accident,PROFILE,Roadway Profile (discontinued)
accident,SUR_COND,Roadway Surface Condition (discontinued)
accident,PAVE_TYP,Roadway Surface Type (discontinued)
accident,SP_LIMIT,Speed Limit (discontinued)
accident,NO_LANES,Total Lanes in Roadway (discontinued)
accident,TRA_CONT,Traffic Control Device (discontinued)
accident,T_CONT_F,Traffic Control Device Functioning (discontinued)
accident,TRAF_FLO,Trafficway Description (discontinued)
accident,VEHICLES,Vehicles in Transport (discontinued)
vehicle,NUMOCCS,Number of Occupants
vehicle,UNITTYPE,Unit Type
vehicle,HIT_RUN,Hit and Run
vehicle,REG_STAT,Registration State
vehicle,OWNER,Registered Vehicle Owner
vehicle,VIN,Vehicle Identification Number (VIN)
vehicle,MOD_YEAR,Vehicle Model Year
vehicle,VPICMAKE,vPIC Make
vehicle,VPICMODEL,vPIC Model
vehicle,VPICBODYCLASS,vPIC Body Class
vehicle,MAKE,NCSA Make
vehicle,MODEL,NCSA Model
vehicle,BODY_TYP,NCSA Body Type
vehicle,ICFINALBODY,Final Stage Body Class
vehicle,GVWR_FROM,Power Unit Gross Vehicle Weight Rating
vehicle,TOW_VEH,Vehicle Trailing
vehicle,TRLR1VIN,Trailer Vehicle Identification Number
vehicle,TRLR2VIN,Trailer Vehicle Identification Number
vehicle,TRLR3VIN,Trailer Vehicle Identification Number
vehicle,TRLR1GVWR,"Trailer Gross Vehicle Weight Rating
(GVWR)"
vehicle,TRLR2GVWR,"Trailer Gross Vehicle Weight Rating
(GVWR)"
vehicle,TRLR3GVWR,"Trailer Gross Vehicle Weight Rating
(GVWR)"
vehicle,J_KNIFE,Jackknife
vehicle,MCARR_ID,"Motor Carrier Identification Number
(MCID)"
vehicle,MCARR_I1,MCID Issuing Authority
vehicle,MCARR_I2,MCID Identification Number
vehicle,V_CONFIG,Vehicle Configuration
vehicle,CARGO_BT,Cargo Body Type
vehicle,HAZ_INV,Hazardous Material Involvement
vehicle,HAZ_PLAC,Hazardous Material Placard
vehicle,HAZ_ID,"Hazardous Material Identification
Number"
vehicle,HAZ_CNO,Hazardous Material Class Number
vehicle,HAZ_REL,"Release of Hazardous Material from
the Cargo Compartment"
vehicle,BUS_USE,Bus Use
vehicle,SPEC_USE,Special Use
vehicle,EMER_USE,Emergency Motor Vehicle Use
vehicle,TRAV_SP,Travel Speed
vehicle,UNDERIDE,Underride/Override
vehicle,ROLLOVER,Rollover
vehicle,ROLINLOC,Location of Rollover
vehicle,IMPACT1,Area of Impact - Initial Contact Point
