var_stnd,yr_0,yr_1,var_source,val_0,val_0_def,val_1,notes
age,,,AGE,numeric,,,
alc_lej,,,DRINKING,0,No,no,
alc_lej,,,DRINKING,1,Yes,yes,
alc_lej,,,DRINKING,8,Not Reported,unknown,
alc_lej,,,DRINKING,9,unknown,unknown,
bac,2010,2014,ALC_RES,numeric,1-93,,"two different formats, both evaluate to .01 - .93"
bac,2015,2020,ALC_RES,numeric,10-939,,"two different formats, both evaluate to .01 - .93"
coll_ty,,,MAN_COLL,6,Angle,angle,
coll_ty,,,MAN_COLL,2,Front-to-Front,front to front,
coll_ty,,,MAN_COLL,1,Front-to-Rear,front to rear,
coll_ty,,,MAN_COLL,0,Not a collision,non-collision,
coll_ty,,,MAN_COLL,11,Other (End-Swipes and Others),other ,
coll_ty,,,MAN_COLL,10,Rear-to-Rear,rear end,
coll_ty,,,MAN_COLL,9,Rear-to-Side,rear end,
coll_ty,,,MAN_COLL,8,Sideswipe – Opposite Direction,sideswipe,
coll_ty,,,MAN_COLL,7,Sideswipe – Same Direction,sideswipe,
coll_ty,,,MAN_COLL,98,Not Reported,unknown,
coll_ty,,,MAN_COLL,99,unknown,unknown,
county,,,COUNTY,character,,,
date,,,MONTH + DAY + YEAR,date,,,
drug_lej,,,DRUGS,0,No,no,
drug_lej,,,DRUGS,1,Yes,yes,
drug_lej,,,DRUGS,8,Not Reported,unknown,
drug_lej,,,DRUGS,9,unknown,unknown,
fhe,,,HARM_EV,1,Rollover/Overturn,Non-collision,
fhe,,,HARM_EV,2,Fire/Explosion,Non-collision,
fhe,,,HARM_EV,3,Immersion or Partial Immersion,Non-collision,
fhe,,,HARM_EV,4,Gas Inhalation,Non-collision,
fhe,,,HARM_EV,5,Fell/Jumped from Vehicle,Non-collision,
fhe,,,HARM_EV,6,Injured in Vehicle (Non-Collision),Non-collision,
fhe,,,HARM_EV,7,Other Non-Collision,Non-collision,
fhe,,,HARM_EV,8,Pedestrian,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,9,Pedalcyclist,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,10,Railway Vehicle,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,11,Live Animal,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,12,Motor Vehicle in Transport,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,14,Parked Motor Vehicle (Not In Transport),Collision with fixed object,
fhe,,,HARM_EV,15,Non-Motorist on Personal Conveyance,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,16,Thrown or Falling Object,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,17,Boulder,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,18,Other Object (Not Fixed),"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,19,Building,Collision with fixed object,
fhe,,,HARM_EV,20,Impact Attenuator/Crash Cushion,Collision with fixed object,
fhe,,,HARM_EV,21,Bridge Pier or Support,Collision with fixed object,
fhe,,,HARM_EV,23,Bridge Rail (Includes Parapet),Collision with fixed object,
fhe,,,HARM_EV,24,Guardrail Face,Collision with fixed object,
fhe,,,HARM_EV,25,Concrete Traffic Barrier,Collision with fixed object,
fhe,,,HARM_EV,26,Other Traffic Barrier,Collision with fixed object,
fhe,,,HARM_EV,30,Utility Pole/Light Support,Collision with fixed object,
fhe,,,HARM_EV,31,"Post, Pole, or Other Supports",Collision with fixed object,
fhe,,,HARM_EV,32,Culvert,Collision with fixed object,
fhe,,,HARM_EV,33,Curb,Collision with fixed object,
fhe,,,HARM_EV,34,Ditch,Collision with fixed object,
fhe,,,HARM_EV,35,Embankment,Collision with fixed object,
fhe,,,HARM_EV,38,Fence,Collision with fixed object,
fhe,,,HARM_EV,39,Wall,Collision with fixed object,
fhe,,,HARM_EV,40,Fire Hydrant,Collision with fixed object,
fhe,,,HARM_EV,41,Shrubbery,Collision with fixed object,
fhe,,,HARM_EV,42,Tree (Standing Only),Collision with fixed object,
fhe,,,HARM_EV,43,Other Fixed Object,Collision with fixed object,
fhe,,,HARM_EV,44,"Pavement Surface Irregularity (Ruts,",Collision with fixed object,
fhe,,,HARM_EV,45,Working Motor Vehicle,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,46,Traffic Signal Support,Collision with fixed object,
fhe,,,HARM_EV,48,Snow Bank,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,49,Ridden Animal or Animal-Drawn Conveyance,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,50,Bridged Overhead Structure,Collision with fixed object,
fhe,,,HARM_EV,51,Jackknife (Harmful to This Vehicle),"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,52,Guardrail End,Collision with fixed object,
fhe,,,HARM_EV,53,Mail Box,Collision with fixed object,
fhe,,,HARM_EV,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by another Motor Vehicle In-Transport","Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,55,Motor Vehicle in Motion Outside the Motorway,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,57,Cable Barrier,Collision with fixed object,
fhe,,,HARM_EV,58,Ground,Collision with fixed object,
fhe,,,HARM_EV,59,Traffic sign support,Collision with fixed object,
fhe,,,HARM_EV,72,"Cargo/Equipment Loss, Shift, or Damage (Harmful)",Collision with fixed object,
fhe,,,HARM_EV,73,Object That Had Fallen From Motor Vehicle In-Transport,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,74,Road Vehicle on Rails,"Collision with person, motor vehicle or non-fixed object",
fhe,,,HARM_EV,91,unknown Object Not Fixed,unknown,
fhe,,,HARM_EV,93,unknown Fixed Object,unknown,
fhe,,,HARM_EV,98,"Harmful Event, Details Not Reported",unknown,
fhe,,,HARM_EV,99,Reported as unknown,unknown,
hour,,,HOUR,numeric,,,
inj_sev,,,INJ_SEV,0,No Apparent Injury (O),O,
inj_sev,,,INJ_SEV,1,Possible Injury (C),C,
inj_sev,,,INJ_SEV,2,Suspected Minor Injury (B),B,
inj_sev,,,INJ_SEV,3,Suspected Serious Injury (A),A,
inj_sev,,,INJ_SEV,4,Fatal Injury (K),K,
inj_sev,,,INJ_SEV,5,"Injured, Severity unknown (U) (Since 1978)",unknown,
inj_sev,,,INJ_SEV,6,Died Prior to Crash,Other,
inj_sev,,,INJ_SEV,8,Not Reported (2010 Only),unknown,
inj_sev,,,INJ_SEV,9,unknown,unknown,
int_ty,,,TYP_INT,7,"Five-Point, or More",intersection,
int_ty,,,TYP_INT,2,Four-Way Intersection,intersection,
int_ty,,,TYP_INT,10,L-Intersection,intersection,
int_ty,,,TYP_INT,1,Not an Intersection,not intersection,
int_ty,,,TYP_INT,98,Not Reported,unknown,
int_ty,,,TYP_INT,6,Roundabout,roundabout or circle,
int_ty,,,TYP_INT,3,T-Intersection,intersection,
int_ty,,,TYP_INT,5,Traffic Circle,roundabout or circle,
int_ty,,,TYP_INT,99,unknown,unknown,
int_ty,,,TYP_INT,4,Y-Intersection,intersection,
light,,,LGT_COND,1,Daylight,daylight,
light,,,LGT_COND,2,Dark – Not Lighted,"dark, not lighted",
light,,,LGT_COND,3,Dark – Lighted,"dark, lighted",
light,,,LGT_COND,4,Dawn,dawn or dusk,
light,,,LGT_COND,5,Dusk,dawn or dusk,
light,,,LGT_COND,6,Dark – unknown Lighting,"dark, unknown lighting",
light,,,LGT_COND,7,Other,other,
light,,,LGT_COND,8,Not Reported,unknown,
light,,,LGT_COND,9,unknown,unknown,
per_ty,,,PER_TYP,1,Driver of a Motor Vehicle In-Transport,driver,
per_ty,,,PER_TYP,2,Passenger of a Motor Vehicle In-Transport,passenger,
per_ty,,,PER_TYP,3,Occupant of a Motor Vehicle Not In-Transport,passenger,
per_ty,,,PER_TYP,4,Occupant of a Non-Motor Vehicle Transport Device,passenger,
per_ty,,,PER_TYP,5,Pedestrian,pedestrian,
per_ty,,,PER_TYP,6,Bicyclist,bicyclist,
per_ty,,,PER_TYP,7,Other Cyclist,bicyclist,
per_ty,,,PER_TYP,8,Person on Personal Conveyances (Since 2007),other,
per_ty,,,PER_TYP,9,unknown Occupant Type in a Motor Vehicle In-Transport,passenger,
per_ty,,,PER_TYP,10,Persons In/On Buildings (Since 2007),other,
per_ty,,,PER_TYP,19,unknown Type of Non-Motorist,unknown,
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",9,"Under the Influence of Alcohol, Drugs or Medication",altered state,"on the DRIMPAIR file, must be combined with NMIMPAIR"
phys_impair,,,"coalesce(DRIMPAIR, NMIMPAIR)",7,Blind,blind,"on the DRIMPAIR file, must be combined with NMIMPAIR"
