tablename,structure,level,year_created
accident,one,crash,1975
cevent,one,event,2010
vevent,one,event,2010
vsoe,one,event,2010
person,one,person,1975
safetyeq,one,person,2010
pbtype,one,person,2014
vehicle,one,vehicle,1975
paperwork,one,vehicle,2010
weather,multiple,crash,2020
crashrf,multiple,crash,2020
nmcrash,multiple,person,2010
nmimpair,multiple,person,2010
nmprior,multiple,person,2010
nmdistract,multiple,person,2019
race,multiple,person,2019
personrf,multiple,person,2020
distract,multiple,vehicle,2010
drimpair,multiple,vehicle,2010
factor,multiple,vehicle,2010
maneuver,multiple,vehicle,2010
violatn,multiple,vehicle,2010
vision,multiple,vehicle,2010
damage,multiple,vehicle,2012
drugs,multiple,vehicle,2018
vehiclesf,multiple,vehicle,2020
pvehiclesf,multiple,vehicle,2020
driverrf,multiple,vehicle,2020
