2015 GEOID,State,2015 Geography Name
1001,AL,"Autauga County, Alabama"
1003,AL,"Baldwin County, Alabama"
1005,AL,"Barbour County, Alabama"
1007,AL,"Bibb County, Alabama"
1009,AL,"Blount County, Alabama"
1011,AL,"Bullock County, Alabama"
1013,AL,"Butler County, Alabama"
1015,AL,"Calhoun County, Alabama"
1017,AL,"Chambers County, Alabama"
1019,AL,"Cherokee County, Alabama"
1021,AL,"Chilton County, Alabama"
1023,AL,"Choctaw County, Alabama"
1025,AL,"Clarke County, Alabama"
1027,AL,"Clay County, Alabama"
1029,AL,"Cleburne County, Alabama"
1031,AL,"Coffee County, Alabama"
1033,AL,"Colbert County, Alabama"
1035,AL,"Conecuh County, Alabama"
1037,AL,"Coosa County, Alabama"
1039,AL,"Covington County, Alabama"
1041,AL,"Crenshaw County, Alabama"
1043,AL,"Cullman County, Alabama"
1045,AL,"Dale County, Alabama"
1047,AL,"Dallas County, Alabama"
1049,AL,"DeKalb County, Alabama"
1051,AL,"Elmore County, Alabama"
1053,AL,"Escambia County, Alabama"
1055,AL,"Etowah County, Alabama"
1057,AL,"Fayette County, Alabama"
1059,AL,"Franklin County, Alabama"
1061,AL,"Geneva County, Alabama"
1063,AL,"Greene County, Alabama"
1065,AL,"Hale County, Alabama"
1067,AL,"Henry County, Alabama"
1069,AL,"Houston County, Alabama"
1071,AL,"Jackson County, Alabama"
1073,AL,"Jefferson County, Alabama"
1075,AL,"Lamar County, Alabama"
1077,AL,"Lauderdale County, Alabama"
1079,AL,"Lawrence County, Alabama"
1081,AL,"Lee County, Alabama"
1083,AL,"Limestone County, Alabama"
1085,AL,"Lowndes County, Alabama"
1087,AL,"Macon County, Alabama"
1089,AL,"Madison County, Alabama"
1091,AL,"Marengo County, Alabama"
1093,AL,"Marion County, Alabama"
1095,AL,"Marshall County, Alabama"
1097,AL,"Mobile County, Alabama"
1099,AL,"Monroe County, Alabama"
1101,AL,"Montgomery County, Alabama"
1103,AL,"Morgan County, Alabama"
1105,AL,"Perry County, Alabama"
1107,AL,"Pickens County, Alabama"
1109,AL,"Pike County, Alabama"
1111,AL,"Randolph County, Alabama"
1113,AL,"Russell County, Alabama"
1115,AL,"St. Clair County, Alabama"
1117,AL,"Shelby County, Alabama"
1119,AL,"Sumter County, Alabama"
1121,AL,"Talladega County, Alabama"
1123,AL,"Tallapoosa County, Alabama"
1125,AL,"Tuscaloosa County, Alabama"
1127,AL,"Walker County, Alabama"
1129,AL,"Washington County, Alabama"
1131,AL,"Wilcox County, Alabama"
1133,AL,"Winston County, Alabama"
2013,AK,"Aleutians East Borough, Alaska"
2016,AK,"Aleutians West Census Area, Alaska"
2020,AK,"Anchorage Municipality, Alaska"
2050,AK,"Bethel Census Area, Alaska"
2060,AK,"Bristol Bay Borough, Alaska"
2068,AK,"Denali Borough, Alaska"
2070,AK,"Dillingham Census Area, Alaska"
2090,AK,"Fairbanks North Star Borough, Alaska"
2100,AK,"Haines Borough, Alaska"
2105,AK,"Hoonah-Angoon Census Area, Alaska"
2110,AK,"Juneau City and Borough, Alaska"
2122,AK,"Kenai Peninsula Borough, Alaska"
2130,AK,"Ketchikan Gateway Borough, Alaska"
2150,AK,"Kodiak Island Borough, Alaska"
2158,AK,"Kusilvak Census Area, Alaska"
2164,AK,"Lake and Peninsula Borough, Alaska"
2170,AK,"Matanuska-Susitna Borough, Alaska"
2180,AK,"Nome Census Area, Alaska"
2185,AK,"North Slope Borough, Alaska"
2188,AK,"Northwest Arctic Borough, Alaska"
2195,AK,"Petersburg Census Area, Alaska"
2198,AK,"Prince of Wales-Hyder Census Area, Alaska"
2220,AK,"Sitka City and Borough, Alaska"
2230,AK,"Skagway Municipality, Alaska"
2240,AK,"Southeast Fairbanks Census Area, Alaska"
2261,AK,"Valdez-Cordova Census Area, Alaska"
2275,AK,"Wrangell City and Borough, Alaska"
2282,AK,"Yakutat City and Borough, Alaska"
2290,AK,"Yukon-Koyukuk Census Area, Alaska"
4001,AZ,"Apache County, Arizona"
4003,AZ,"Cochise County, Arizona"
4005,AZ,"Coconino County, Arizona"
4007,AZ,"Gila County, Arizona"
4009,AZ,"Graham County, Arizona"
4011,AZ,"Greenlee County, Arizona"
4012,AZ,"La Paz County, Arizona"
4013,AZ,"Maricopa County, Arizona"
4015,AZ,"Mohave County, Arizona"
4017,AZ,"Navajo County, Arizona"
4019,AZ,"Pima County, Arizona"
4021,AZ,"Pinal County, Arizona"
4023,AZ,"Santa Cruz County, Arizona"
4025,AZ,"Yavapai County, Arizona"
4027,AZ,"Yuma County, Arizona"
5001,AR,"Arkansas County, Arkansas"
5003,AR,"Ashley County, Arkansas"
5005,AR,"Baxter County, Arkansas"
5007,AR,"Benton County, Arkansas"
5009,AR,"Boone County, Arkansas"
5011,AR,"Bradley County, Arkansas"
5013,AR,"Calhoun County, Arkansas"
5015,AR,"Carroll County, Arkansas"
5017,AR,"Chicot County, Arkansas"
5019,AR,"Clark County, Arkansas"
5021,AR,"Clay County, Arkansas"
5023,AR,"Cleburne County, Arkansas"
5025,AR,"Cleveland County, Arkansas"
5027,AR,"Columbia County, Arkansas"
5029,AR,"Conway County, Arkansas"
5031,AR,"Craighead County, Arkansas"
5033,AR,"Crawford County, Arkansas"
5035,AR,"Crittenden County, Arkansas"
5037,AR,"Cross County, Arkansas"
5039,AR,"Dallas County, Arkansas"
5041,AR,"Desha County, Arkansas"
5043,AR,"Drew County, Arkansas"
5045,AR,"Faulkner County, Arkansas"
5047,AR,"Franklin County, Arkansas"
5049,AR,"Fulton County, Arkansas"
5051,AR,"Garland County, Arkansas"
5053,AR,"Grant County, Arkansas"
5055,AR,"Greene County, Arkansas"
5057,AR,"Hempstead County, Arkansas"
5059,AR,"Hot Spring County, Arkansas"
5061,AR,"Howard County, Arkansas"
5063,AR,"Independence County, Arkansas"
5065,AR,"Izard County, Arkansas"
5067,AR,"Jackson County, Arkansas"
5069,AR,"Jefferson County, Arkansas"
5071,AR,"Johnson County, Arkansas"
5073,AR,"Lafayette County, Arkansas"
5075,AR,"Lawrence County, Arkansas"
5077,AR,"Lee County, Arkansas"
5079,AR,"Lincoln County, Arkansas"
5081,AR,"Little River County, Arkansas"
5083,AR,"Logan County, Arkansas"
5085,AR,"Lonoke County, Arkansas"
5087,AR,"Madison County, Arkansas"
5089,AR,"Marion County, Arkansas"
5091,AR,"Miller County, Arkansas"
5093,AR,"Mississippi County, Arkansas"
5095,AR,"Monroe County, Arkansas"
5097,AR,"Montgomery County, Arkansas"
5099,AR,"Nevada County, Arkansas"
5101,AR,"Newton County, Arkansas"
5103,AR,"Ouachita County, Arkansas"
5105,AR,"Perry County, Arkansas"
5107,AR,"Phillips County, Arkansas"
5109,AR,"Pike County, Arkansas"
5111,AR,"Poinsett County, Arkansas"
5113,AR,"Polk County, Arkansas"
5115,AR,"Pope County, Arkansas"
5117,AR,"Prairie County, Arkansas"
5119,AR,"Pulaski County, Arkansas"
5121,AR,"Randolph County, Arkansas"
5123,AR,"St. Francis County, Arkansas"
5125,AR,"Saline County, Arkansas"
5127,AR,"Scott County, Arkansas"
5129,AR,"Searcy County, Arkansas"
5131,AR,"Sebastian County, Arkansas"
5133,AR,"Sevier County, Arkansas"
5135,AR,"Sharp County, Arkansas"
5137,AR,"Stone County, Arkansas"
5139,AR,"Union County, Arkansas"
5141,AR,"Van Buren County, Arkansas"
5143,AR,"Washington County, Arkansas"
5145,AR,"White County, Arkansas"
5147,AR,"Woodruff County, Arkansas"
5149,AR,"Yell County, Arkansas"
6001,CA,"Alameda County, California"
6003,CA,"Alpine County, California"
6005,CA,"Amador County, California"
6007,CA,"Butte County, California"
6009,CA,"Calaveras County, California"
6011,CA,"Colusa County, California"
6013,CA,"Contra Costa County, California"
6015,CA,"Del Norte County, California"
6017,CA,"El Dorado County, California"
6019,CA,"Fresno County, California"
6021,CA,"Glenn County, California"
6023,CA,"Humboldt County, California"
6025,CA,"Imperial County, California"
6027,CA,"Inyo County, California"
6029,CA,"Kern County, California"
6031,CA,"Kings County, California"
6033,CA,"Lake County, California"
6035,CA,"Lassen County, California"
6037,CA,"Los Angeles County, California"
6039,CA,"Madera County, California"
6041,CA,"Marin County, California"
6043,CA,"Mariposa County, California"
6045,CA,"Mendocino County, California"
6047,CA,"Merced County, California"
6049,CA,"Modoc County, California"
6051,CA,"Mono County, California"
6053,CA,"Monterey County, California"
6055,CA,"Napa County, California"
6057,CA,"Nevada County, California"
