2015 GEOID,2010 Census Total Population,2010 Census Urban Population,2010 Census Rural Population,2010 Census Percent Rural
1001,"54,571","31,650","22,921",42
1003,"182,265","105,205","77,060",42.3
1005,"27,457","8,844","18,613",67.8
1007,"22,915","7,252","15,663",68.4
1009,"57,322","5,760","51,562",90
1011,"10,914","5,307","5,607",51.4
1013,"20,947","6,026","14,921",71.2
1015,"118,572","78,617","39,955",33.7
1017,"34,215","17,399","16,816",49.1
1019,"25,989","3,707","22,282",85.7
1021,"43,643","5,785","37,858",86.7
1023,"13,859",0,"13,859",100
1025,"25,833","6,205","19,628",76
1027,"13,932",0,"13,932",100
1029,"14,972",0,"14,972",100
1031,"49,948","26,375","23,573",47.2
1033,"54,428","30,537","23,891",43.9
1035,"13,228","2,520","10,708",80.9
1037,"11,539",0,"11,539",100
1039,"37,765","11,461","26,304",69.7
1041,"13,906",0,"13,906",100
1043,"80,406","21,517","58,889",73.2
1045,"50,251","24,679","25,572",50.9
1047,"43,820","23,821","19,999",45.6
1049,"71,109","7,018","64,091",90.1
1051,"79,303","36,330","42,973",54.2
1053,"38,319","13,982","24,337",63.5
1055,"104,430","65,286","39,144",37.5
1057,"17,241","3,408","13,833",80.2
1059,"31,704","9,395","22,309",70.4
1061,"26,790","2,775","24,015",89.6
1063,"9,045",0,"9,045",100
1065,"15,760","1,707","14,053",89.2
1067,"17,302","2,119","15,183",87.8
1069,"101,547","67,220","34,327",33.8
1071,"53,227","12,233","40,994",77
1073,"658,472","593,714","64,752",9.8
1075,"14,564",0,"14,564",100
1077,"92,709","47,008","45,701",49.3
1079,"34,339","2,991","31,348",91.3
1081,"140,251","101,806","38,441",27.4
1083,"82,782","35,092","47,690",57.6
1085,"11,299",0,"11,299",100
1087,"21,452","9,536","11,916",55.5
1089,"334,811","279,763","55,048",16.4
1091,"21,027","6,452","14,575",69.3
1093,"30,776","3,430","27,346",88.9
1095,"93,019","43,469","49,550",53.3
1097,"412,999","330,310","82,682",20
1099,"23,068","4,834","18,234",79
1101,"229,363","205,300","24,063",10.5
1103,"119,490","73,370","46,120",38.6
1105,"10,591",0,"10,591",100
1107,"19,746",0,"19,746",100
1109,"32,899","15,897","17,002",51.7
1111,"22,913","4,275","18,638",81.3
1113,"52,947","34,199","18,748",35.4
1115,"83,593","22,740","60,853",72.8
1117,"195,085","150,323","44,762",22.9
1119,"13,763",0,"13,763",100
1121,"82,291","36,360","45,931",55.8
1123,"41,616","10,726","30,890",74.2
1125,"194,656","145,003","49,653",25.5
1127,"67,023","17,367","49,656",74.1
1129,"17,581",0,"17,581",100
1131,"11,670",0,"11,670",100
1133,"24,484","3,699","20,785",84.9
2013,"3,141",0,"3,141",100
2016,"5,561",0,"5,561",100
2020,"291,826","279,811","12,015",4.1
2050,"17,013","4,434","12,579",73.9
2060,997,0,997,100
2068,"1,826",0,"1,826",100
2070,"4,847",0,"4,847",100
2090,"97,581","67,457","30,124",30.9
2100,"2,508",0,"2,508",100
2105,"2,150",0,"2,150",100
2110,"31,275","24,537","6,738",21.5
2122,"55,400","11,447","43,953",79.3
2130,"13,477","10,352","3,125",23.2
2150,"13,592","9,335","4,257",31.3
2158,"7,459",0,"7,459",100
2164,"1,635",0,"1,635",100
2170,"88,995","44,236","44,759",50.3
2180,"9,492","3,222","6,270",66.1
2185,"9,430","3,835","5,595",59.3
2188,"7,523","3,200","4,323",57.5
2195,"3,815",0,"3,815",100
2198,"5,559",0,"5,559",100
2220,"8,881","7,027","1,854",20.9
2230,968,0,968,100
2240,"7,029",0,"7,029",100
2261,"9,636",0,"9,636",100
2275,"2,369",0,"2,369",100
2282,662,0,662,100
2290,"5,588",0,"5,588",100
4001,"71,518","18,551","52,967",74.1
4003,"131,346","83,666","47,680",36.3
4005,"134,421","92,124","42,297",31.5
4007,"53,597","31,589","22,008",41.1
4009,"37,220","19,936","17,284",46.4
4011,"8,437","4,508","3,929",46.6
4012,"20,489","8,948","11,541",56.3
4013,"3,817,117","3,726,888","90,229",2.4
4015,"200,186","154,216","45,970",23
4017,"107,449","49,278","58,171",54.1
4019,"980,263","906,513","73,750",7.5
4021,"375,770","293,459","82,311",21.9
4023,"47,420","34,672","12,748",26.9
4025,"211,033","140,976","70,057",33.2
4027,"195,751","175,335","20,416",10.4
5001,"19,019","12,418","6,601",34.7
5003,"21,853","10,559","11,294",51.7
5005,"41,513","14,180","27,333",65.8
5007,"221,339","165,650","55,689",25.2
5009,"36,903","13,950","22,953",62.2
5011,"11,508","5,801","5,707",49.6
5013,"5,368",0,"5,368",100
5015,"27,446","7,456","19,990",72.8
5017,"11,800","5,395","6,405",54.3
5019,"22,995","10,491","12,504",54.4
5021,"16,083","6,617","9,466",58.9
5023,"25,970","6,357","19,613",75.5
5025,"8,689",0,"8,689",100
5027,"24,552","10,438","14,114",57.5
5029,"21,273","6,272","15,001",70.5
5031,"96,443","65,419","31,024",32.2
5033,"61,948","29,759","32,189",52
5035,"50,902","40,270","10,632",20.9
5037,"17,870","7,722","10,148",56.8
5039,"8,116","3,844","4,272",52.6
5041,"13,008","8,921","4,087",31.4
5043,"18,509","9,512","8,997",48.6
5045,"113,237","69,346","43,891",38.8
5047,"18,125","3,153","14,972",82.6
5049,"12,245",867,"11,378",92.9
5051,"96,024","60,588","35,436",36.9
5053,"17,853","4,458","13,395",75
5055,"42,090","24,620","17,470",41.5
5057,"22,609","10,000","12,609",55.8
5059,"32,923","11,204","21,719",66
5061,"13,789","4,479","9,310",67.5
5063,"36,647","11,513","25,134",68.6
5065,"13,696",0,"13,696",100
5067,"17,997","6,288","11,709",65.1
5069,"77,435","53,495","23,940",30.9
5071,"25,540","7,313","18,227",71.4
5073,"7,645",0,"7,645",100
5075,"17,415","6,346","11,069",63.6
